DIA;COMPRA;VENTA;;
20 Jun 1983;44.10;44.60;;
21 Jun 1983;44.10;44.60;;
22 Jun 1983;44.10;44.60;;
23 Jun 1983;44.10;44.60;;
24 Jun 1983;44.10;44.60;;
25 Jun 1983;44.10;44.60;;
26 Jun 1983;44.10;44.60;;
27 Jun 1983;44.10;44.60;;
28 Jun 1983;43.10;43.60;;
29 Jun 1983;43.10;43.60;;
30 Jun 1983;43.10;43.60;;
1 Jul 1983;43.10;43.60;;
2 Jul 1983;43.10;43.60;;
3 Jul 1983;43.10;43.60;;
4 Jul 1983;43.10;43.60;;
5 Jul 1983;43.10;43.60;;
6 Jul 1983;43.10;43.60;;
7 Jul 1983;43.10;43.60;;
8 Jul 1983;43.10;43.60;;
9 Jul 1983;43.10;43.60;;
10 Jul 1983;43.10;43.60;;
11 Jul 1983;43.10;43.60;;
12 Jul 1983;43.10;43.60;;
13 Jul 1983;43.10;43.60;;
14 Jul 1983;43.10;43.60;;
15 Jul 1983;43.10;43.60;;
16 Jul 1983;43.10;43.60;;
17 Jul 1983;43.10;43.60;;
18 Jul 1983;43.10;43.60;;
19 Jul 1983;43.10;43.60;;
20 Jul 1983;43.10;43.60;;
21 Jul 1983;43.10;43.60;;
22 Jul 1983;43.10;43.60;;
23 Jul 1983;43.10;43.60;;
24 Jul 1983;43.10;43.60;;
25 Jul 1983;43.10;43.60;;
26 Jul 1983;43.10;43.60;;
27 Jul 1983;43.10;43.60;;
28 Jul 1983;43.10;43.60;;
29 Jul 1983;43.10;43.60;;
30 Jul 1983;43.10;43.60;;
31 Jul 1983;43.10;43.60;;
1 Ago 1983;43.10;43.60;;
2 Ago 1983;43.10;43.60;;
3 Ago 1983;43.10;43.60;;
4 Ago 1983;43.10;43.60;;
5 Ago 1983;43.10;43.60;;
6 Ago 1983;43.10;43.60;;
7 Ago 1983;43.10;43.60;;
8 Ago 1983;43.10;43.60;;
9 Ago 1983;43.10;43.60;;
10 Ago 1983;43.10;43.60;;
11 Ago 1983;43.10;43.60;;
12 Ago 1983;43.10;43.60;;
13 Ago 1983;43.10;43.60;;
14 Ago 1983;43.10;43.60;;
15 Ago 1983;43.10;43.60;;
16 Ago 1983;43.10;43.60;;
17 Ago 1983;43.10;43.60;;
18 Ago 1983;43.10;43.60;;
19 Ago 1983;43.10;43.60;;
20 Ago 1983;43.10;43.60;;
21 Ago 1983;43.10;43.60;;
22 Ago 1983;43.10;43.60;;
23 Ago 1983;43.10;43.60;;
24 Ago 1983;43.10;43.60;;
25 Ago 1983;43.10;43.60;;
26 Ago 1983;43.10;43.60;;
27 Ago 1983;43.10;43.60;;
28 Ago 1983;43.10;43.60;;
29 Ago 1983;43.10;43.60;;
30 Ago 1983;43.10;43.60;;
31 Ago 1983;43.10;43.60;;
1 Set 1983;43.10;43.60;;
2 Set 1983;43.10;43.60;;
3 Set 1983;43.10;43.60;;
4 Set 1983;43.10;43.60;;
5 Set 1983;43.10;43.60;;
6 Set 1983;43.10;43.60;;
7 Set 1983;43.10;43.60;;
8 Set 1983;43.10;43.60;;
9 Set 1983;43.10;43.60;;
10 Set 1983;43.10;43.60;;
11 Set 1983;43.10;43.60;;
12 Set 1983;43.10;43.60;;
13 Set 1983;43.10;43.60;;
14 Set 1983;43.10;43.60;;
15 Set 1983;43.10;43.60;;
16 Set 1983;43.10;43.60;;
17 Set 1983;43.10;43.60;;
18 Set 1983;43.10;43.60;;
19 Set 1983;43.10;43.60;;
20 Set 1983;43.10;43.60;;
21 Set 1983;43.10;43.60;;
22 Set 1983;43.10;43.60;;
23 Set 1983;42.10;42.60;;
24 Set 1983;42.10;42.60;;
25 Set 1983;42.10;42.60;;
26 Set 1983;42.10;42.60;;
27 Set 1983;42.10;42.60;;
28 Set 1983;42.10;42.60;;
29 Set 1983;42.10;42.60;;
30 Set 1983;42.10;42.60;;
1 Oct 1983;42.10;42.60;;
2 Oct 1983;42.10;42.60;;
3 Oct 1983;42.10;42.60;;
4 Oct 1983;42.10;42.60;;
5 Oct 1983;42.10;42.60;;
6 Oct 1983;42.10;42.60;;
7 Oct 1983;42.10;42.60;;
8 Oct 1983;42.10;42.60;;
9 Oct 1983;42.10;42.60;;
10 Oct 1983;42.10;42.60;;
11 Oct 1983;42.10;42.60;;
12 Oct 1983;42.10;42.60;;
13 Oct 1983;42.10;42.60;;
14 Oct 1983;42.10;42.60;;
15 Oct 1983;42.10;42.60;;
16 Oct 1983;42.10;42.60;;
17 Oct 1983;42.10;42.60;;
18 Oct 1983;42.10;42.60;;
19 Oct 1983;42.10;42.60;;
20 Oct 1983;42.10;42.60;;
21 Oct 1983;42.10;42.60;;
22 Oct 1983;42.10;42.60;;
23 Oct 1983;42.10;42.60;;
24 Oct 1983;42.10;42.60;;
25 Oct 1983;42.10;42.60;;
26 Oct 1983;42.10;42.60;;
27 Oct 1983;42.10;42.60;;
28 Oct 1983;42.10;42.60;;
29 Oct 1983;42.10;42.60;;
30 Oct 1983;42.10;42.60;;
31 Oct 1983;42.10;42.60;;
1 Nov 1983;42.10;42.60;;
2 Nov 1983;42.10;42.60;;
3 Nov 1983;42.10;42.60;;
4 Nov 1983;42.10;42.60;;
5 Nov 1983;42.10;42.60;;
6 Nov 1983;42.10;42.60;;
7 Nov 1983;42.10;42.60;;
8 Nov 1983;42.10;42.60;;
9 Nov 1983;42.10;42.60;;
10 Nov 1983;42.10;42.60;;
11 Nov 1983;43.15;43.65;;
12 Nov 1983;43.15;43.65;;
13 Nov 1983;43.15;43.65;;
14 Nov 1983;43.15;43.65;;
15 Nov 1983;43.15;43.65;;
16 Nov 1983;43.15;43.65;;
17 Nov 1983;43.15;43.65;;
18 Nov 1983;43.15;43.65;;
19 Nov 1983;43.15;43.65;;
20 Nov 1983;43.15;43.65;;
21 Nov 1983;43.15;43.65;;
22 Nov 1983;43.15;43.65;;
23 Nov 1983;43.15;43.65;;
24 Nov 1983;43.15;43.65;;
25 Nov 1983;43.15;43.65;;
26 Nov 1983;43.15;43.65;;
27 Nov 1983;43.15;43.65;;
28 Nov 1983;43.15;43.65;;
29 Nov 1983;43.15;43.65;;
30 Nov 1983;43.15;43.65;;
1 Dic 1983;43.15;43.65;;
2 Dic 1983;43.15;43.65;;
3 Dic 1983;43.15;43.65;;
4 Dic 1983;43.15;43.65;;
5 Dic 1983;43.15;43.65;;
6 Dic 1983;43.15;43.65;;
7 Dic 1983;43.15;43.65;;
8 Dic 1983;43.15;43.65;;
9 Dic 1983;43.15;43.65;;
10 Dic 1983;43.15;43.65;;
11 Dic 1983;43.15;43.65;;
12 Dic 1983;43.15;43.65;;
13 Dic 1983;43.15;43.65;;
14 Dic 1983;43.15;43.65;;
15 Dic 1983;43.15;43.65;;
16 Dic 1983;43.15;43.65;;
17 Dic 1983;43.15;43.65;;
18 Dic 1983;43.15;43.65;;
19 Dic 1983;43.15;43.65;;
20 Dic 1983;43.15;43.65;;
21 Dic 1983;43.15;43.65;;
22 Dic 1983;43.15;43.65;;
23 Dic 1983;43.15;43.65;;
24 Dic 1983;43.15;43.65;;
25 Dic 1983;43.15;43.65;;
26 Dic 1983;43.15;43.65;;
27 Dic 1983;43.15;43.65;;
28 Dic 1983;43.15;43.65;;
29 Dic 1983;43.15;43.65;;
30 Dic 1983;43.15;43.65;;
31 Dic 1983;43.15;43.65;;
1 Ene 1984;43.15;43.65;;
2 Ene 1984;43.15;43.65;;
3 Ene 1984;43.15;43.65;;
4 Ene 1984;43.15;43.65;;
5 Ene 1984;43.15;43.65;;
6 Ene 1984;43.15;43.65;;
7 Ene 1984;43.15;43.65;;
8 Ene 1984;43.15;43.65;;
9 Ene 1984;43.15;43.65;;
10 Ene 1984;43.15;43.65;;
11 Ene 1984;43.15;43.65;;
12 Ene 1984;43.15;43.65;;
13 Ene 1984;43.15;43.65;;
14 Ene 1984;43.15;43.65;;
15 Ene 1984;43.15;43.65;;
16 Ene 1984;43.15;43.65;;
17 Ene 1984;43.15;43.65;;
18 Ene 1984;43.15;43.65;;
19 Ene 1984;43.15;43.65;;
20 Ene 1984;43.15;43.65;;
21 Ene 1984;43.15;43.65;;
22 Ene 1984;43.15;43.65;;
23 Ene 1984;43.15;43.65;;
24 Ene 1984;43.15;43.65;;
25 Ene 1984;43.15;43.65;;
26 Ene 1984;43.15;43.65;;
27 Ene 1984;43.15;43.65;;
28 Ene 1984;43.15;43.65;;
29 Ene 1984;43.15;43.65;;
30 Ene 1984;43.15;43.65;;
31 Ene 1984;43.15;43.65;;
1 Feb 1984;43.15;43.65;;
2 Feb 1984;43.15;43.65;;
3 Feb 1984;43.15;43.65;;
4 Feb 1984;43.15;43.65;;
5 Feb 1984;43.15;43.65;;
6 Feb 1984;43.15;43.65;;
7 Feb 1984;43.15;43.65;;
8 Feb 1984;43.15;43.65;;
9 Feb 1984;43.15;43.65;;
10 Feb 1984;43.15;43.65;;
11 Feb 1984;43.15;43.65;;
12 Feb 1984;43.15;43.65;;
13 Feb 1984;43.15;43.65;;
14 Feb 1984;43.15;43.65;;
15 Feb 1984;43.15;43.65;;
16 Feb 1984;43.15;43.65;;
17 Feb 1984;43.15;43.65;;
18 Feb 1984;43.15;43.65;;
19 Feb 1984;43.15;43.65;;
20 Feb 1984;43.15;43.65;;
21 Feb 1984;43.15;43.65;;
22 Feb 1984;43.15;43.65;;
23 Feb 1984;43.15;43.65;;
24 Feb 1984;43.15;43.65;;
25 Feb 1984;43.15;43.65;;
26 Feb 1984;43.15;43.65;;
27 Feb 1984;43.15;43.65;;
28 Feb 1984;43.15;43.65;;
29 Feb 1984;43.15;43.65;;
1 Mar 1984;43.15;43.65;;
2 Mar 1984;43.15;43.65;;
3 Mar 1984;43.15;43.65;;
4 Mar 1984;43.15;43.65;;
5 Mar 1984;43.15;43.65;;
6 Mar 1984;43.15;43.65;;
7 Mar 1984;43.15;43.65;;
8 Mar 1984;43.15;43.65;;
9 Mar 1984;43.15;43.65;;
10 Mar 1984;43.15;43.65;;
11 Mar 1984;43.15;43.65;;
12 Mar 1984;43.15;43.65;;
13 Mar 1984;43.15;43.65;;
14 Mar 1984;43.15;43.65;;
15 Mar 1984;43.15;43.65;;
16 Mar 1984;43.15;43.65;;
17 Mar 1984;43.15;43.65;;
18 Mar 1984;43.15;43.65;;
19 Mar 1984;43.15;43.65;;
20 Mar 1984;43.15;43.65;;
21 Mar 1984;43.15;43.65;;
22 Mar 1984;43.15;43.65;;
23 Mar 1984;43.15;43.65;;
24 Mar 1984;43.15;43.65;;
25 Mar 1984;43.15;43.65;;
26 Mar 1984;43.15;43.65;;
27 Mar 1984;43.15;43.65;;
28 Mar 1984;43.15;43.65;;
29 Mar 1984;43.15;43.65;;
30 Mar 1984;43.15;43.65;;
31 Mar 1984;43.15;43.65;;
1 Abr 1984;43.15;43.65;;
2 Abr 1984;43.15;43.65;;
3 Abr 1984;43.15;43.65;;
4 Abr 1984;43.15;43.65;;
5 Abr 1984;43.15;43.65;;
6 Abr 1984;43.15;43.65;;
7 Abr 1984;43.15;43.65;;
8 Abr 1984;43.15;43.65;;
9 Abr 1984;43.15;43.65;;
10 Abr 1984;43.15;43.65;;
11 Abr 1984;43.15;43.65;;
12 Abr 1984;43.15;43.65;;
13 Abr 1984;43.15;43.65;;
14 Abr 1984;43.15;43.65;;
15 Abr 1984;43.15;43.65;;
16 Abr 1984;43.15;43.65;;
17 Abr 1984;43.15;43.65;;
18 Abr 1984;43.15;43.65;;
19 Abr 1984;43.15;43.65;;
20 Abr 1984;43.15;43.65;;
21 Abr 1984;43.15;43.65;;
22 Abr 1984;43.15;43.65;;
23 Abr 1984;43.15;43.65;;
24 Abr 1984;43.15;43.65;;
25 Abr 1984;43.15;43.65;;
26 Abr 1984;43.15;43.65;;
27 Abr 1984;43.15;43.65;;
28 Abr 1984;43.15;43.65;;
29 Abr 1984;43.15;43.65;;
30 Abr 1984;43.15;43.65;;
1 May 1984;43.15;43.65;;
2 May 1984;43.15;43.65;;
3 May 1984;43.15;43.65;;
4 May 1984;43.15;43.65;;
5 May 1984;43.15;43.65;;
6 May 1984;43.15;43.65;;
7 May 1984;43.15;43.65;;
8 May 1984;43.15;43.65;;
9 May 1984;43.15;43.65;;
10 May 1984;43.15;43.65;;
11 May 1984;43.15;43.65;;
12 May 1984;43.15;43.65;;
13 May 1984;43.15;43.65;;
14 May 1984;43.15;43.65;;
15 May 1984;43.15;43.65;;
16 May 1984;43.15;43.65;;
17 May 1984;43.15;43.65;;
18 May 1984;43.15;43.65;;
19 May 1984;43.15;43.65;;
20 May 1984;43.15;43.65;;
21 May 1984;43.15;43.65;;
22 May 1984;43.15;43.65;;
23 May 1984;43.15;43.65;;
24 May 1984;43.15;43.65;;
25 May 1984;43.15;43.65;;
26 May 1984;43.15;43.65;;
27 May 1984;43.15;43.65;;
28 May 1984;43.15;43.65;;
29 May 1984;43.50;44.00;;
30 May 1984;43.50;44.00;;
31 May 1984;43.50;44.00;;
1 Jun 1984;43.50;44.00;;
2 Jun 1984;43.50;44.00;;
3 Jun 1984;43.50;44.00;;
